,LPR
23847,0.015897583828976304
23848,0.010160249534767135
23851,0.04740724018216635
23864,0.0012913077679421333
23865,0.0005738083492773258
23866,2.3021530990225766e-05
23867,1.0099957009184067e-07
23868,2.2128616686767568e-07
23869,1.0888664397753296e-07
23870,2.3658628516314413e-07
23876,0.13566172429690707
23881,0.007421761558231251
23883,5.2415157092655005e-08
23886,1.407997749591082e-05
23888,0.025624364938708455
23889,0.04405163562120245
23890,8.589124165187345e-06
23895,0.0004513557987878911
23898,1.9467939313617983e-07
23908,0.008916567552388507
23909,0.005682014656596895
23910,4.4060767841158645e-05
23913,2.3371785935442785e-12
23915,1.467902605581175e-09
23919,0.047899941591317
23926,4.082858364941378e-06
23928,0.004188674482059568
23929,0.037226819919796275
23930,0.003712785859608276
23934,0.43996853516933093
23936,0.04696899702778101
23937,0.011291000522135148
23939,0.08700103463055937
23942,5.5601698820821026e-05
23944,1.718605179074425e-06
23948,0.0031594657199557805
23956,0.00024022973791615668
23961,7.967617882312435e-14
23962,7.673359267675575e-05
23963,1.7400999795546748e-06
23966,6.230277739547559e-07
23967,5.549092222867323e-05
23972,0.00012833824904816068
23977,0.00431282033611289
23978,1.5842280786084555e-09
23979,2.0787894593939124e-07
23980,3.0334250769571074e-06
23981,0.012374870098866932
23983,0.00016836645598486392
23984,0.0019045041557142796
23985,0.012176014974173125
23987,0.0004226305165499124
23998,6.703788456695221e-07
24003,0.000896427193438671
24005,0.00171921866786252
24010,0.09011105468807741
24011,0.026245996925331864
24012,1.955318263389314e-05
24016,6.802777227199372e-06
24024,1.9050224836351673e-07
24030,0.00017216802684801927
24033,7.002442821945643e-05
24036,1.1229023024186701e-06
24037,8.892367766554358e-07
24042,2.7888820442117027e-05
24043,1.7501682734516947e-08
24045,0.047168468351986154
24047,0.00024698300133751505
24049,0.00518935923829479
24059,1.649880701642162e-05
24063,0.0004578329756987992
24066,4.909914949814712e-07
24080,3.1146474024635197e-06
24091,3.682609755480418e-05
24093,0.006382339419706998
24110,0.002183570464899054
24120,1.3531519488411018e-06
24121,0.0012446100238990647
24125,0.012148336776529182
24130,7.5738641290641935e-06
24135,5.003045057249302e-06
24137,0.0281221428127443
24165,0.0005112766895553569
24166,0.00029002509000400275
24169,5.582894298941591e-09
24172,0.0007584017701919541
24195,2.358744593603771e-08
24197,0.025448165030147473
24203,0.07460447735021455
24216,3.151473152693904e-08
