parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
well_23816__stream_apportionment78,none,factor,0.9538,0.8538,1.0,apportionment,1.0,0.0,1
well_23818__stream_apportionment79,none,relative,0.015,0.0,0.115,apportionment,1.0,0.0,1
well_23820__stream_apportionment80,none,relative,0.0847,0.0,0.1847,apportionment,1.0,0.0,1
well_23823__stream_apportionment81,none,relative,0.0157,0.0,0.1157,apportionment,1.0,0.0,1
well_23836__stream_apportionment82,none,factor,0.9589,0.8589,1.0,apportionment,1.0,0.0,1
well_23837__stream_apportionment83,none,factor,0.825,0.725,0.9249999999999999,apportionment,1.0,0.0,1
well_23846__stream_apportionment84,none,factor,0.1148,0.014799999999999994,0.2148,apportionment,1.0,0.0,1
well_23847__stream_apportionment85,none,factor,0.578,0.478,0.6779999999999999,apportionment,1.0,0.0,1
well_23848__stream_apportionment86,none,factor,0.5052,0.4052,0.6052,apportionment,1.0,0.0,1
well_23851__stream_apportionment87,none,factor,0.6419,0.5419,0.7419,apportionment,1.0,0.0,1
well_23864__stream_apportionment88,none,factor,0.1723,0.0723,0.2723,apportionment,1.0,0.0,1
well_23865__stream_apportionment89,none,factor,0.1432,0.04319999999999999,0.2432,apportionment,1.0,0.0,1
well_23866__stream_apportionment90,none,relative,0.0839,0.0,0.1839,apportionment,1.0,0.0,1
well_23867__stream_apportionment91,none,relative,0.0173,0.0,0.1173,apportionment,1.0,0.0,1
well_23868__stream_apportionment92,none,relative,0.0096,0.0,0.1096,apportionment,1.0,0.0,1
well_23869__stream_apportionment93,none,relative,0.0275,0.0,0.1275,apportionment,1.0,0.0,1
well_23870__stream_apportionment94,none,relative,0.0281,0.0,0.1281,apportionment,1.0,0.0,1
well_23876__stream_apportionment95,none,factor,0.957,0.857,1.0,apportionment,1.0,0.0,1
well_23881__stream_apportionment96,none,factor,0.4588,0.3588,0.5588,apportionment,1.0,0.0,1
well_23883__stream_apportionment97,none,relative,0.0369,0.0,0.13690000000000002,apportionment,1.0,0.0,1
well_23886__stream_apportionment98,none,relative,0.0444,0.0,0.1444,apportionment,1.0,0.0,1
well_23888__stream_apportionment99,none,factor,0.7608,0.6608,0.8608,apportionment,1.0,0.0,1
well_23889__stream_apportionment100,none,factor,0.7371,0.6371,0.8371,apportionment,1.0,0.0,1
well_23890__stream_apportionment101,none,relative,0.0542,0.0,0.1542,apportionment,1.0,0.0,1
well_23895__stream_apportionment102,none,factor,0.1401,0.0401,0.2401,apportionment,1.0,0.0,1
well_23898__stream_apportionment103,none,relative,0.0116,0.0,0.1116,apportionment,1.0,0.0,1
well_23908__stream_apportionment104,none,factor,0.3927,0.29269999999999996,0.4927,apportionment,1.0,0.0,1
well_23909__stream_apportionment105,none,factor,0.5584,0.45840000000000003,0.6584,apportionment,1.0,0.0,1
well_23910__stream_apportionment106,none,relative,0.0159,0.0,0.1159,apportionment,1.0,0.0,1
well_23913__stream_apportionment107,none,relative,0.0061,0.0,0.1061,apportionment,1.0,0.0,1
well_23915__stream_apportionment108,none,relative,0.0222,0.0,0.1222,apportionment,1.0,0.0,1
well_23919__stream_apportionment109,none,factor,0.8116,0.7116,0.9116,apportionment,1.0,0.0,1
well_23926__stream_apportionment110,none,relative,0.0452,0.0,0.1452,apportionment,1.0,0.0,1
well_23928__stream_apportionment111,none,factor,0.4229,0.32289999999999996,0.5229,apportionment,1.0,0.0,1
well_23929__stream_apportionment112,none,factor,0.8968,0.7968000000000001,0.9968,apportionment,1.0,0.0,1
well_23930__stream_apportionment113,none,factor,0.5494,0.4494,0.6494,apportionment,1.0,0.0,1
well_23934__stream_apportionment114,none,factor,0.9928,0.8928,1.0,apportionment,1.0,0.0,1
