parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
well_72607__stream_apportionment277,none,factor,0.2797,0.1797,0.37970000000000004,apportionment,1.0,0.0,1
well_72610__stream_apportionment278,none,factor,0.629,0.529,0.729,apportionment,1.0,0.0,1
well_72713__stream_apportionment279,none,factor,0.6071,0.5071,0.7071,apportionment,1.0,0.0,1
well_72756__stream_apportionment280,none,factor,0.4469,0.3469,0.5469,apportionment,1.0,0.0,1
well_72983__stream_apportionment281,none,factor,0.1781,0.0781,0.2781,apportionment,1.0,0.0,1
well_73153__stream_apportionment282,none,relative,0.0993,0.0,0.1993,apportionment,1.0,0.0,1
well_73262__stream_apportionment283,none,relative,0.0044,0.0,0.1044,apportionment,1.0,0.0,1
well_73280__stream_apportionment284,none,factor,0.2941,0.19409999999999997,0.3941,apportionment,1.0,0.0,1
well_73281__stream_apportionment285,none,factor,0.3058,0.2058,0.40580000000000005,apportionment,1.0,0.0,1
well_73372__stream_apportionment286,none,factor,0.1032,0.0031999999999999945,0.2032,apportionment,1.0,0.0,1
well_73440__stream_apportionment287,none,relative,0.0625,0.0,0.1625,apportionment,1.0,0.0,1
well_73481__stream_apportionment288,none,factor,0.149,0.04899999999999999,0.249,apportionment,1.0,0.0,1
well_73715__stream_apportionment289,none,factor,0.8271,0.7271,0.9270999999999999,apportionment,1.0,0.0,1
well_73737__stream_apportionment290,none,relative,0.0822,0.0,0.1822,apportionment,1.0,0.0,1
well_73761__stream_apportionment291,none,factor,0.6283,0.5283,0.7283,apportionment,1.0,0.0,1
well_73762__stream_apportionment292,none,factor,0.6836,0.5836,0.7836,apportionment,1.0,0.0,1
well_73906__stream_apportionment293,none,relative,0.0922,0.0,0.1922,apportionment,1.0,0.0,1
well_73940__stream_apportionment294,none,relative,0.0404,0.0,0.1404,apportionment,1.0,0.0,1
well_73942__stream_apportionment295,none,relative,0.0451,0.0,0.1451,apportionment,1.0,0.0,1
well_74131__stream_apportionment296,none,relative,0.002,0.0,0.10200000000000001,apportionment,1.0,0.0,1
well_74280__stream_apportionment297,none,relative,0.0444,0.0,0.1444,apportionment,1.0,0.0,1
well_798__stream_apportionment7,none,relative,0.0848,0.0,0.18480000000000002,apportionment,1.0,0.0,1
well_807__stream_apportionment8,none,factor,0.1691,0.0691,0.2691,apportionment,1.0,0.0,1
well_84404__stream_apportionment298,none,factor,0.2402,0.1402,0.3402,apportionment,1.0,0.0,1
well_84409__stream_apportionment299,none,factor,0.8706,0.7706000000000001,0.9706,apportionment,1.0,0.0,1
well_84411__stream_apportionment300,none,factor,0.8706,0.7706000000000001,0.9706,apportionment,1.0,0.0,1
well_850__stream_apportionment9,none,relative,0.0157,0.0,0.1157,apportionment,1.0,0.0,1
well_862__stream_apportionment10,none,factor,0.2424,0.1424,0.34240000000000004,apportionment,1.0,0.0,1
well_91103__stream_apportionment301,none,relative,0.0309,0.0,0.13090000000000002,apportionment,1.0,0.0,1
well_91173__stream_apportionment302,none,factor,0.109,0.008999999999999994,0.20900000000000002,apportionment,1.0,0.0,1
well_91808__stream_apportionment303,none,relative,0.005,0.0,0.10500000000000001,apportionment,1.0,0.0,1
well_91996__stream_apportionment304,none,relative,0.023,0.0,0.123,apportionment,1.0,0.0,1
well_91997__stream_apportionment305,none,relative,0.0245,0.0,0.1245,apportionment,1.0,0.0,1
well_92099__stream_apportionment306,none,relative,0.0423,0.0,0.1423,apportionment,1.0,0.0,1
well_92184__stream_apportionment307,none,relative,0.0797,0.0,0.1797,apportionment,1.0,0.0,1
well_92299__stream_apportionment308,none,relative,0.0216,0.0,0.12160000000000001,apportionment,1.0,0.0,1
well_92696__stream_apportionment309,none,relative,0.0012,0.0,0.10120000000000001,apportionment,1.0,0.0,1
well_92714__stream_apportionment310,none,relative,0.0529,0.0,0.1529,apportionment,1.0,0.0,1
well_92724__stream_apportionment311,none,relative,0.0068,0.0,0.1068,apportionment,1.0,0.0,1
well_92743__stream_apportionment312,none,relative,0.0115,0.0,0.1115,apportionment,1.0,0.0,1
well_92808__stream_apportionment313,none,relative,0.0431,0.0,0.1431,apportionment,1.0,0.0,1
well_92885__stream_apportionment314,none,factor,0.2951,0.19509999999999997,0.3951,apportionment,1.0,0.0,1
well_92981__stream_apportionment315,none,relative,0.0253,0.0,0.1253,apportionment,1.0,0.0,1
well_93142__stream_apportionment316,none,factor,0.417,0.31699999999999995,0.517,apportionment,1.0,0.0,1
well_93143__stream_apportionment317,none,factor,0.4188,0.3188,0.5188,apportionment,1.0,0.0,1
well_93349__stream_apportionment318,none,factor,0.1989,0.09889999999999999,0.2989,apportionment,1.0,0.0,1
well_93422__stream_apportionment319,none,relative,0.0072,0.0,0.1072,apportionment,1.0,0.0,1
well_93423__stream_apportionment320,none,relative,0.0071,0.0,0.1071,apportionment,1.0,0.0,1
well_93424__stream_apportionment321,none,relative,0.0079,0.0,0.10790000000000001,apportionment,1.0,0.0,1
well_93469__stream_apportionment322,none,factor,0.7911,0.6911,0.8911,apportionment,1.0,0.0,1
well_93832__stream_apportionment323,none,relative,0.0103,0.0,0.11030000000000001,apportionment,1.0,0.0,1
well_94302__stream_apportionment324,none,factor,0.8775,0.7775,0.9774999999999999,apportionment,1.0,0.0,1
well_94988__stream_apportionment325,none,relative,0.0703,0.0,0.1703,apportionment,1.0,0.0,1
well_95068__stream_apportionment326,none,factor,0.1252,0.0252,0.2252,apportionment,1.0,0.0,1
