iteration,total_runs,obs_realization,par_realization,obgnme
0,500,246,246,1.12845
0,500,247,247,0.300906
0,500,248,248,4.20609
0,500,249,249,10.8906
0,500,250,250,0.303613
0,500,251,251,34.4452
0,500,252,252,42.2249
0,500,253,253,1.60407
0,500,254,254,7.35322
0,500,255,255,167.81
0,500,256,256,48.7247
0,500,257,257,33.4835
0,500,258,258,288.503
0,500,259,259,102.63
0,500,260,260,22.7463
0,500,261,261,1.00468
0,500,262,262,0.246201
0,500,263,263,5.09551
0,500,264,264,1.14348
0,500,265,265,3.96494
0,500,266,266,29.8866
0,500,267,267,63.076
0,500,268,268,1.16574
0,500,269,269,62.1417
0,500,270,270,9.8349
0,500,271,271,148.428
0,500,272,272,0.404523
0,500,273,273,8.28234
0,500,274,274,212.181
0,500,275,275,16.9772
0,500,276,276,1.16089
0,500,277,277,408.989
0,500,278,278,2.83502
0,500,279,279,0.355857
0,500,280,280,36.5113
0,500,281,281,23.384
0,500,282,282,275.283
0,500,283,283,44.0875
0,500,284,284,0.226907
0,500,285,285,15.6241
0,500,286,286,192.96
0,500,287,287,0.160746
0,500,288,288,21.1874
0,500,289,289,129.222
0,500,290,290,16.1271
0,500,291,291,45.7408
0,500,292,292,132.884
0,500,293,293,48.3713
0,500,294,294,55.8792
0,500,295,295,0.507862
0,500,296,296,33.9944
0,500,297,297,187.4
0,500,298,298,15.1709
0,500,299,299,4.00722
0,500,300,300,27.4515
0,500,301,301,37.2907
0,500,302,302,8.80643
0,500,303,303,40.5036
0,500,304,304,170.964
0,500,305,305,128.813
0,500,306,306,30.6092
0,500,307,307,33.1954
0,500,308,308,2.17183
0,500,309,309,9.76297
0,500,310,310,41.1177
0,500,311,311,0.210819
0,500,312,312,0.855932
0,500,313,313,50.3986
0,500,314,314,13.2368
0,500,315,315,50.2818
0,500,316,316,46.4483
0,500,317,317,0.24142
0,500,318,318,0.125026
0,500,319,319,53.4341
0,500,320,320,37.8905
0,500,321,321,94.7707
0,500,322,322,0.230571
0,500,323,323,6.67988
0,500,324,324,8.13493
0,500,325,325,71.3801
0,500,326,326,5.81953
0,500,327,327,54.0316
0,500,328,328,1.15255
0,500,329,329,19.3796
0,500,330,330,2.63027
0,500,331,331,22.8095
0,500,332,332,185.198
0,500,333,333,23.3769
0,500,334,334,0.154342
0,500,335,335,125.797
0,500,336,336,50.3352
0,500,337,337,24.3487
0,500,338,338,0.343911
0,500,339,339,180.538
0,500,340,340,46.2969
0,500,341,341,14.522
0,500,342,342,11.4919
0,500,343,343,0.231029
0,500,344,344,61.4596
0,500,345,345,14.7484
0,500,346,346,176.377
0,500,347,347,0.226533
0,500,348,348,26.1808
0,500,349,349,5.87262
0,500,350,350,0.189616
0,500,351,351,0.308233
0,500,352,352,31.1438
0,500,353,353,6.05264
0,500,354,354,36.7996
0,500,355,355,11.128
0,500,356,356,0.367402
0,500,357,357,36.8597
0,500,358,358,28.8308
0,500,359,359,41.0997
0,500,360,360,1.65733
0,500,361,361,23.62
0,500,362,362,7.62471
0,500,363,363,0.399598
0,500,364,364,27.921
0,500,365,365,12.4452
0,500,366,366,4.74302
0,500,367,367,474.367
0,500,368,368,48.4126
0,500,369,369,81.0784
0,500,370,370,23.8661
0,500,371,371,56.0418
0,500,372,372,27.3744
0,500,373,373,4.53085
0,500,374,374,13.5171
0,500,375,375,0.348861
0,500,376,376,6.98149
0,500,377,377,92.126
0,500,378,378,29.3492
0,500,379,379,24.4368
0,500,380,380,4.34427
0,500,381,381,81.9718
0,500,382,382,10.6093
0,500,383,383,38.5348
0,500,384,384,24.8338
0,500,385,385,46.1307
0,500,386,386,0.269353
0,500,387,387,30.7781
0,500,388,388,43.4282
0,500,389,389,0.434321
0,500,390,390,115.521
0,500,391,391,71.0224
0,500,392,392,28.2964
0,500,393,393,114.607
0,500,394,394,0.669873
0,500,395,395,92.8677
0,500,396,396,0.189506
0,500,397,397,0.474078
0,500,398,398,84.9663
0,500,399,399,10.0149
0,500,400,400,0.684878
0,500,401,401,307.28
0,500,402,402,50.4215
0,500,403,403,15.5527
0,500,404,404,102.813
0,500,405,405,100.613
0,500,406,406,30.1205
0,500,407,407,2.28463
0,500,408,408,55.252
0,500,409,409,6.49945
0,500,410,410,26.4947
0,500,411,411,70.116
0,500,412,412,348.534
0,500,413,413,184.499
0,500,414,414,8.17249
0,500,415,415,16.9636
0,500,416,416,26.6382
0,500,417,417,13.2613
0,500,418,418,0.786684
0,500,419,419,65.9038
0,500,420,420,0.378994
0,500,421,421,74.9649
0,500,422,422,9.94151
0,500,423,423,2.29685
0,500,424,424,5.29559
0,500,425,425,0.87407
0,500,426,426,56.1012
0,500,427,427,199.284
0,500,428,428,27.4356
0,500,429,429,4.09332
0,500,430,430,266.113
0,500,431,431,35.8007
0,500,432,432,19.1857
0,500,433,433,49.6352
0,500,434,434,6.74974
0,500,435,435,42.3628
0,500,436,436,5.01195
0,500,437,437,0.821672
0,500,438,438,5.66314
0,500,439,439,0.331963
0,500,440,440,19.2074
0,500,441,441,3.59958
0,500,442,442,13.7842
0,500,443,443,3.89634
0,500,444,444,59.576
0,500,445,445,2.71042
0,500,446,446,22.9956
0,500,447,447,64.417
0,500,448,448,30.457
0,500,449,449,2.73928
0,500,450,450,77.7659
0,500,451,451,13.6371
0,500,452,452,103.452
0,500,453,453,14.0143
0,500,454,454,60.3695
0,500,455,455,43.903
0,500,456,456,28.5539
0,500,457,457,0.251479
0,500,458,458,10.0896
0,500,459,459,14.3536
0,500,460,460,2.65876
0,500,461,461,76.785
0,500,462,462,4.06353
0,500,463,463,104.561
0,500,464,464,14.9098
0,500,465,465,10.9161
0,500,466,466,20.8069
0,500,467,467,12.3452
0,500,468,468,19.2961
0,500,469,469,0.962984
0,500,470,470,13.2511
0,500,471,471,23.4539
0,500,472,472,2.74315
0,500,473,473,58.0019
0,500,474,474,27.0333
0,500,475,475,10.4177
0,500,476,476,41.6345
0,500,477,477,16.057
0,500,478,478,2.34343
0,500,479,479,138.311
0,500,480,480,12.0666
0,500,481,481,31.1524
0,500,482,482,0.660578
0,500,483,483,54.3441
0,500,484,484,111.1
0,500,485,485,58.2539
0,500,486,486,56.3818
0,500,487,487,68.2328
0,500,488,488,4.24328
0,500,489,489,8.66554
0,500,490,490,7.02931
0,500,491,491,2.84106
0,500,492,492,5.76996
0,500,493,493,21.3753
0,500,494,494,19.0125
0,500,495,495,83.6805
0,500,496,496,1.05981
0,500,497,497,3.18413
0,500,498,498,63.1681
0,500,base,base,0
