species,AugQ50,SAIFR,Screen,POmodel,POmeasure,PO10R,PO20R,PO30R,PO40R,PO50R,delPO_10percRed,delPO_20percRed,delPO_30percRed,delPO_40percRed,delPO_50percRed
brook trout,0.0,0.10258906011971644,False,0.724,0.13643598426194226,0.12980824032429739,0.12231303872683481,0.1127330072995348,0.10210182904064576,0.08924812430091257,0.00662774393764487,0.014122945535107442,0.02370297696240746,0.0343341552212965,0.047187859961029685
brook trout,0.5,0.07671094267875711,True,0.724,0.17000534122384853,0.15892443573062698,0.1470271277090045,0.1330001449059969,0.11810753744246388,0.10114498059667147,0.011080905493221549,0.022978213514844026,0.037005196317851624,0.051897803781384644,0.06886036062717706
brook trout,1.0,0.05923026420173384,True,0.724,0.20396524106419708,0.18674724923070576,0.17081155865120803,0.15264451549136993,0.13372670220601435,0.11282967989197061,0.01721799183349132,0.03315368241298905,0.05132072557282716,0.07023853885818274,0.09113556117222647
brook trout,1.5,0.048770890817417895,True,0.724,0.2602549786063733,0.23357359405050349,0.20593912635680622,0.17606929697212964,0.1489731590156039,0.12430784713524262,0.026681384555869825,0.05431585224956709,0.08418568163424367,0.11128181959076941,0.1359471314711307
brook trout,2.0,0.04530097722939108,True,0.724,0.31464537969678014,0.2799170582630606,0.24690906098541668,0.2111136328838202,0.17479633466763864,0.1371958493329497,0.03472832143371951,0.06773631871136346,0.10353174681295993,0.1398490450291415,0.17744953036383043
brook trout,2.5,0.04277320283963611,True,0.724,0.37993332592464146,0.33552078481226844,0.2882557623680362,0.24422482094571696,0.20231776487040978,0.15870276900296612,0.04441254111237303,0.09167756355660528,0.1357085049789245,0.17761556105423168,0.22123055692167534
brook trout,3.0,0.04406770268502992,True,0.724,0.4402595804877573,0.3903069446952275,0.33899969216927545,0.2824839316598241,0.22864104019773124,0.1794958321171247,0.04995263579252984,0.10125988831848187,0.1577756488279332,0.21161854029002608,0.26076374837063265
brook trout,3.5,0.04489453502078985,True,0.724,0.5011418346317632,0.44532860097206567,0.38535733358165825,0.32473024209691176,0.2605785133976419,0.19960999989429837,0.055813233659697536,0.11578450105010496,0.17641159253485145,0.24056332123412133,0.3015318347374648
brook trout,4.0,0.04942101045680507,True,0.724,0.5543395847216096,0.49825619229420126,0.4346239840596521,0.3639292470157328,0.29535364683493853,0.22188155583030025,0.05608339242740834,0.11971560066195752,0.1904103377058768,0.25898593788667107,0.3324580288913094
brook trout,4.5,0.05418377980832145,True,0.724,0.6006150089818942,0.545191133875118,0.4810829618452728,0.406390939011507,0.328089123445601,0.2496085212319332,0.055423875106776266,0.11953204713662141,0.19422406997038721,0.27252588553629326,0.351006487749961
brook trout,5.0,0.0616432351044277,True,0.724,0.638790524700209,0.5869770107259622,0.5230905766245745,0.44737507565034745,0.36169592425440084,0.2760725403091263,0.05181351397424683,0.11569994807563455,0.19141544904986157,0.2770946004458082,0.3627179843910827
