species,AugQ50,SAIFR,Screen,POmodel,POmeasure,PO10R,PO20R,PO30R,PO40R,PO50R,delPO_10percRed,delPO_20percRed,delPO_30percRed,delPO_40percRed,delPO_50percRed
rainbow trout,0.0,0.048739117068341616,True,0.622,0.17148939034530367,0.15389680756371135,0.13707629438140376,0.11497982763687917,0.09535384433708913,0.0742357306971015,0.017592582781592314,0.03441309596389991,0.0565095627084245,0.07613554600821454,0.09725365964820216
rainbow trout,0.5,0.040976722179111975,True,0.622,0.3097465094015737,0.27195108642366306,0.23525775819358252,0.19144687322995205,0.1524614259372577,0.1131554065584349,0.037795422977910664,0.0744887512079912,0.11829963617162167,0.15728508346431602,0.19659110284313883
rainbow trout,1.0,0.044631776998405606,True,0.622,0.40949660199610455,0.3636215966147668,0.31513762740775103,0.2568165232298694,0.203381009618016,0.14920895545647578,0.04587500538133776,0.09435897458835352,0.15268007876623513,0.20611559237808855,0.26028764653962877
rainbow trout,1.5,0.05000971509819944,True,0.622,0.4622856539496775,0.41606606911081867,0.36850323024720455,0.3087563065575703,0.24906667294413495,0.18270173523941968,0.04621958483885885,0.09378242370247297,0.15352934739210722,0.21321898100554257,0.27958391871025784
rainbow trout,2.0,0.054269098154709663,True,0.622,0.5049664503308282,0.4584421420687601,0.4070536972493852,0.34214561867117455,0.27954548994416645,0.2123755288270679,0.046524308262068104,0.09791275308144298,0.16282083165965366,0.22542096038666176,0.2925909215037603
rainbow trout,2.5,0.06048467749840783,True,0.622,0.5292962749057972,0.4855416996317759,0.4392538335624735,0.37280562288160524,0.3052208287838904,0.23199599870376436,0.04375457527402132,0.09004244134332373,0.156490652024192,0.22407544612190683,0.29730027620203286
rainbow trout,3.0,0.06340160580468417,True,0.622,0.5500773340521405,0.5066969395754836,0.45868183578561456,0.39568568852276415,0.32932367064018964,0.2507605735167736,0.04338039447665698,0.09139549826652599,0.1543916455293764,0.2207536634119509,0.29931676053536693
rainbow trout,3.5,0.06810375428520286,True,0.622,0.5641432863680711,0.5227253577759432,0.47698729385342903,0.41203152632089873,0.34695031718888575,0.26872406230751184,0.041417928592127895,0.08715599251464207,0.15211176004717236,0.21719296917918535,0.29541922406055926
rainbow trout,4.0,0.07031592375028237,True,0.622,0.5763499018067628,0.5353670154940129,0.48991190392612227,0.4276278630157791,0.36029901935310576,0.2839721981095691,0.04098288631274993,0.08643799788064055,0.14872203879098372,0.21605088245365706,0.29237770369719374
rainbow trout,4.5,0.07409115316965807,True,0.622,0.5854271511427228,0.5459199275338407,0.5011246972461425,0.4389306305862368,0.3731780086029746,0.29421166830030027,0.03950722360888215,0.08430245389658031,0.146496520556486,0.2122491425397482,0.29121548284242255
rainbow trout,5.0,0.07585870856104547,True,0.622,0.5933218899225402,0.5542148512464811,0.5107675908826387,0.44868847844715826,0.3841162369690159,0.30419497063172746,0.039107038676059136,0.08255429903990152,0.14463341147538195,0.20920565295352428,0.28912691929081275
rainbow trout,5.5,0.07899111256963404,True,0.622,0.5995643228327701,0.5616129442960879,0.5182191032038439,0.4581591597384537,0.39229490909393905,0.3139315994317378,0.03795137853668218,0.08134521962892616,0.14140516309431633,0.207269413738831,0.28563272340103224
rainbow trout,6.0,0.08045078109223268,True,0.622,0.6049686497749251,0.5673699688446953,0.5254820739493403,0.46471978079529314,0.40028683320713154,0.3220610267373679,0.03759868093022989,0.07948657582558483,0.140248868979632,0.2046818165677936,0.28290762303755723
rainbow trout,6.5,0.08310683233348107,True,0.622,0.6094353957359505,0.5727696139569939,0.5307500450168224,0.4711460460011708,0.40772687805257524,0.3283764536675119,0.03666578177895663,0.07868535071912808,0.1382893497347797,0.20170851768337528,0.2810589420684386
rainbow trout,7.0,0.08434144651974805,True,0.622,0.6132670489137012,0.5769108400615025,0.5358633788625311,0.47702783589255415,0.41318478618004756,0.33458916006417866,0.0363562088521987,0.0774036700511701,0.13623921302114705,0.20008226273365365,0.27867788884952255
rainbow trout,7.5,0.08663084207841365,True,0.622,0.6165439487704386,0.5809593963189932,0.5401808140500488,0.48157660035085337,0.4185563553588696,0.3407016318376876,0.03558455245144543,0.0763631347203898,0.13496734841958524,0.19798759341156902,0.275842316932751
rainbow trout,8.0,0.08769415174892536,True,0.622,0.619318020789837,0.5840067709266198,0.5438916833282993,0.48605860074020557,0.4238436182128088,0.3456872783048651,0.03531124986321721,0.0754263374615377,0.13325942004963143,0.1954744025770282,0.2736307424849719
rainbow trout,8.5,0.08948879498450607,True,0.622,0.6217574411690229,0.587018039365888,0.547415745162733,0.4899263642075582,0.42773543542602876,0.34992867669528477,0.03473940180313484,0.07434169600628993,0.13183107696146468,0.1940220057429941,0.2718287644737381
rainbow trout,9.0,0.09062121145564578,True,0.622,0.6237865741204235,0.5893693243341671,0.5501618670612244,0.493202108689673,0.43152564940908095,0.35412215847700057,0.034417249786256376,0.0736247070591991,0.13058446543075047,0.19226092471134254,0.2696644156434229
rainbow trout,9.5,0.09202162901785788,True,0.622,0.6256141547275281,0.5916213770835831,0.5528804483727745,0.49644241912857595,0.4352728758011928,0.3582685310859036,0.03399277764394504,0.07273370635475362,0.12917173559895218,0.19034127892633534,0.2673456236416245
rainbow trout,10.0,0.09320339026870215,True,0.622,0.6270995171232905,0.5934580629167758,0.5550957693044947,0.4990716232189615,0.4382877800140196,0.36156117115690445,0.033641454206514654,0.07200374781879582,0.128027893904329,0.1888117371092709,0.26553834596638604
