,total_receipts,acres_irrigated,site_no
1643,58074.00269090251,32.3553408297647,11654
24323,59153.36150800727,32.9566946333059,11656
23865,63990.17735164463,35.651477460393664,11662
23778,66757.69795014657,37.19337345634422,11664
68529,72760.63713425917,40.53785006003352,11665
23781,73301.63393346446,40.83926093262765,11666
23948,54158.70357117613,30.17397168695771,11672
23867,60690.870666932926,33.813302247055205,11677
70120,67630.40770946702,37.67959483596162,11684
23937,62476.22879635988,34.807996397693614,11685
24011,56115.636302333965,31.264256884527757,11687
23978,37437.828524470395,34.767218897469334,11688
24279,61902.2365626215,34.48820245383391,11697
23710,62098.76898643622,34.59769849788084,11700
23963,52947.938091958466,29.499405996118256,11701
23930,57793.51017982962,32.199067275756995,11708
24125,57066.46394241961,31.79400084808878,11709
24291,62103.62308893302,34.600402911791186,11710
23751,62241.56407102562,34.677255329106956,11714
2750,129926.68601484149,72.38733364508663,11738
1589,57315.23286714196,37.570898766725556,11867
24216,79153.84776086865,44.09976243451547,11879
23620,61188.899686948775,34.090774057832434,11980
69638,17574.13578310561,30.71200775109835,12620
69635,20358.73790197871,33.30963717686847,12622
69282,86273.58984011428,50.13052882318418,12643
69289,20153.585410637294,28.36265424181195,12644
24169,59843.47848281936,80.0580237043,12715
71063,24248.146995076662,37.330249750786024,12733
23720,49235.23126151381,27.50630762270373,12850
23728,64234.76822739625,35.78774878288051,12851
24256,66259.20695999966,36.9156442636,12869
23755,58964.55234222828,36.958583077758874,12870
1486,68666.32758681942,38.256747075363144,12871
24045,166047.1692493742,92.5114940583,12878
23939,64959.18410798479,36.1913497339582,12879
23942,43108.39970899113,24.0174071113,12888
23944,33640.11593886691,25.040370747497327,12889
23956,62946.68130334969,36.27195214386723,12890
23928,63696.06694440526,35.48761683383311,12891
24093,64602.0471157634,35.99237448564024,12892
24003,63932.07636783377,35.619107087306915,12893
24049,57813.56700202318,32.21024173055545,12896
23926,74901.4175836364,41.73056414674737,12905
24225,65218.14401367778,36.335626615552464,12910
24227,110075.37619987858,61.32737798129361,12911
23695,28323.13668453005,37.89041689348351,12914
23807,34786.19901585439,19.38077751107572,13058
23961,45121.84989545689,25.13918043513288,13624
3949,73857.23094285384,41.14880616405369,13794
24195,25109.827228618895,33.5916827437893,13914
70263,77126.69437617977,101.26579466638248,13915
71199,13007.087769505682,23.204247611278788,13972
23886,68881.43050073892,38.376589479379696,13980
23979,42372.37836360884,68.0493201487,13981
24247,58675.32182618166,32.6903596793,13982
24226,63465.14401598979,35.3589604694,19193
1323,52093.57312939013,29.023405233711053,19258
72269,58312.726501555786,32.48834337651488,20791
72437,18508.084952002944,25.250019370834185,20858
798,82097.26138979309,55.71471969343247,21015
72422,24538.60855425654,37.527777734858454,21262
72607,66413.0968296458,37.00138244164759,21657
72610,51020.99796135005,32.713990552792026,21660
71935,61469.38477019153,34.2470434735,21964
72082,38769.295365037666,32.104569261880926,22102
72301,9554.555905498273,15.3444545433,22104
72304,9554.555905498273,15.3444545433,22105
73281,27203.425869645846,36.66870082721405,22643
73153,14342.145589871672,23.03324228084043,22662
24302,21302.893937530047,34.38183273245297,22677
72983,27488.12605107436,36.77334778618337,23074
73262,17287.354139697418,25.637348344287474,23258
73440,16322.059600685054,21.83549264753701,23396
73481,35011.842475146,19.506492472902018,23440
73737,19489.466184806293,26.072818381627386,23795
73715,66065.12741523815,36.80751481620739,23801
73762,40498.04105182063,54.33852204080229,23822
71998,39147.94176104123,30.86968629179488,24222
74131,54679.05718237058,35.03911438181464,24223
74280,21186.189181773283,34.0246600743,24383
91103,59525.04169482185,33.16377247479831,24815
91808,15498.327520912459,24.89005082956962,25613
91997,21347.649153687362,30.576433418230934,25824
92099,18256.525545205335,45.5885968316,25939
