site_no,HICAP_WELL_NO
4729,15028.0
4737,3105.0
4738,546.0
4739,24156.0
4749,2962.0
4752,3141.0
4755,3129.0
4763,3151.0
4768,3278.0
4769,8168.0
4770,67276.0
4777,4230.0
4778,67350.0
4790,23907.0
4792,69961.0
4795,23862.0
4815,67282.0
4823,31935.0
4837,67353.0
4842,67379.0
4843,70262.0
4851,4499.0
4852,68334.0
4870,67570.0
4872,69683.0
4876,67662.0
4888,69426.0
4908,68082.0
4914,172.0
4945,68401.0
4950,36583.0
4951,3164.0
4971,68700.0
4976,23610.0
4978,11351.0
4979,23949.0
4981,68744.0
4982,5766.0
4991,68817.0
4993,32502.0
4994,69616.0
4996,71185.0
4998,68905.0
5004,35308.0
5014,15110.0
5018,23608.0
5019,23711.0
5021,69402.0
5024,69420.0
5027,69450.0
5029,69487.0
5031,69522.0
5033,69557.0
5036,69589.0
5037,69605.0
5040,36619.0
5044,250.0
5045,249.0
5046,367.0
5048,69699.0
5049,310.0
5052,69902.0
5060,70055.0
5062,36422.0
5063,36460.0
5064,24230.0
5067,70111.0
5069,33523.0
5071,70187.0
5073,70230.0
5083,2401.0
5084,2491.0
5087,24155.0
5096,69280.0
5099,12979.0
5100,23700.0
5111,70819.0
5131,71088.0
5132,71093.0
5135,71170.0
5136,71172.0
5138,36708.0
5140,287.0
5144,567.0
5146,35309.0
5147,29240.0
5148,5718.0
5154,2679.0
5156,71296.0
5157,68248.0
5158,15088.0
5159,68005.0
5160,17621.0
5173,144.0
5174,224.0
5175,574.0
5179,848.0
5185,1561.0
5186,2121.0
5188,2473.0
5203,35333.0
5209,126.0
5210,1445.0
5211,36476.0
5212,36704.0
5214,236.0
5215,27.0
5216,26.0
5217,40.0
5218,81.0
5220,1590.0
5221,69043.0
5223,89.0
5224,1708.0
5225,100.0
5226,149.0
5227,125.0
5228,142.0
5229,2447.0
5230,2509.0
5231,2502.0
5232,69031.0
5233,67771.0
5234,28905.0
5235,28907.0
5236,2438.0
5237,152.0
5238,181.0
5240,2454.0
5243,2458.0
5249,23779.0
5250,23839.0
5251,2662.0
5252,36394.0
5253,36325.0
5254,36399.0
5255,36521.0
5256,23677.0
5257,70188.0
5258,3457.0
5259,3363.0
5260,2974.0
5263,24319.0
5265,23895.0
5266,23630.0
5267,23652.0
5268,36486.0
5269,24223.0
5270,23670.0
5271,24081.0
5272,24107.0
5273,24166.0
5274,71249.0
5275,23771.0
5276,23732.0
5277,24101.0
5278,23746.0
5279,24162.0
5280,1650.0
5281,23782.0
5282,23823.0
5287,23998.0
5289,23794.0
5291,23940.0
5294,23919.0
5295,3036.0
5297,68754.0
5298,24037.0
5299,23876.0
5300,24120.0
5302,36367.0
5303,36366.0
5304,71065.0
5305,24307.0
5306,24036.0
5307,68313.0
5308,24035.0
5309,3768.0
5310,36478.0
5311,24289.0
5312,24196.0
5313,23968.0
5314,619.0
5315,23709.0
5316,68312.0
5317,24145.0
5318,70191.0
5319,24221.0
5320,36582.0
5322,849.0
5324,23947.0
5325,23967.0
5336,8216.0
5337,1335.0
5340,1587.0
5341,36414.0
5342,2666.0
