parcel_id,site_no,parcel_to_source_pct,source_to_parcel_pct
42,10265,1,0.3886925795053004
57,10265,1,0.29858657243816256
61,10265,1,0.16607773851590107
69,10265,1,0.14664310954063606
92,5131,1,0.27392739273927397
93,5131,1,0.16501650165016502
95,5131,1,0.2887788778877888
98,5131,1,0.034653465346534656
99,5131,1,0.23762376237623767
184,13878,0.5232700777839273,0.052119862253351364
184,5044,0.47672992221607274,0.04475382722615716
186,13878,0.2878164101365701,0.03032160989611568
186,5044,0.28325607395540736,0.028125247094419967
186,8912,0.22259579185194048,0.01853799945819736
186,5045,0.20633172405608208,0.01670521955386836
196,13878,0.5,0.17239176809433457
196,5044,0.5,0.16247888691804793
197,13878,0.5120746280164916,0.1667462954266887
197,5044,0.4879253719835083,0.1497465236402482
198,5044,0.3127572058227129,0.09711586822844213
198,13878,0.30910233393178876,0.10183680037107641
198,7600,0.19394849729528743,0.05303921596031386
198,10192,0.1841919629502111,0.04299910439112975
199,5044,0.3212984505321006,0.10556852287991948
199,13878,0.3134678917347271,0.10927944117383838
199,7600,0.18432208901215624,0.053337296815091
199,10192,0.18091156872101613,0.0446887301641329
260,7600,0.2820958358184609,0.08073305931862332
260,10192,0.27870167302368587,0.06808828066024449
260,5044,0.2235216334789151,0.072635092419516
260,13878,0.2156808576789381,0.07436320879874936
261,7600,0.2684934486525098,0.07342507008614976
261,10192,0.25406954071383253,0.05931183168243635
261,5044,0.241805928340464,0.07508441767727048
261,13878,0.23563108229319374,0.07763097477616572
262,7600,0.29219605374607,0.0813007635917344
262,10192,0.27897488259698167,0.06626183199235071
262,10194,0.236606800577146,0.07724332886785593
262,5044,0.1922222630798024,0.06072900428403369
263,7600,0.5,0.14468503775359595
263,10192,0.5,0.12350987413371949
269,10194,0.323195826921582,0.10732019595711147
269,10192,0.28399549562507514,0.06861068274304334
269,7600,0.2801655881500862,0.07928974536679283
269,10191,0.11264308930325653,0.03625059620195633
270,7600,0.35487568582999973,0.08407071536615239
270,10192,0.32727802386729105,0.0661855831060731
270,10194,0.31784629030270917,0.08834848884279138
276,10194,1,0.300345815864481
277,20999,1,0.8563218390804598
284,20999,1,0.1206896551724138
293,21000,1,1
298,20999,1,0.02298850574712644
449,4238,0.991171496146834,0.2640153828781393
449,13130,0.008828503853165998,0.004985261449895567
450,4238,0.9967557539040305,0.2284214419742241
450,13130,0.0032442460959695683,0.0015760947024081667
452,4238,0.9986218773370135,0.24073735650007697
452,13130,0.001378122662986487,7.042886458138592e-4
453,4238,1,0.2648789211813491
462,13130,0.9919734654602009,0.5100766668196671
462,4238,0.008026534539799075,0.0019468974662105107
463,13130,1,0.48265768838221523
501,8582,1,0.5157232704402516
504,8582,1,0.48427672955974843
521,5186,1,0.6033898305084746
523,25775,1,0.29411764705882354
524,25775,1,0.36363636363636365
531,25157,1,0.4050632911392405
533,25157,1,0.3392405063291139
535,25157,1,0.2556962025316456
552,25775,1,0.34224598930481287
555,5186,1,0.39661016949152544
771,8024,1,0.397398467682688
774,8024,0.9582841115361683,0.31516190692066703
774,10609,0.04171588846383168,0.011954453500209709
776,8066,0.4322284876689259,0.14372677408017395
776,5542,0.3331040699195571,0.09235637371523678
776,6804,0.23466744241151707,0.07991754442620995
781,6795,0.9849360420690156,0.27601402462409647
781,24549,0.015063957930984403,0.009167949389921156
782,6795,0.996281741741799,0.2881420015850463
782,24549,0.0037182582582010646,0.00233546811188356
784,6795,0.5,0.1562851715982465
784,24549,0.5,0.339412448939128
785,6795,0.9523142933189084,0.27200441191658087
785,24549,0.04768570668109168,0.029579706608730338
787,24549,0.9742003810332359,0.6195044269503369
787,6795,0.02579961896676413,0.00755439027602974
810,10609,1,0.30447887631556275
812,10609,0.42629827834205436,0.1365856872100685
812,8024,0.2971747280172837,0.10927345878874818
812,23794,0.27652699364066197,0.1033795220430768
813,23794,0.40497393074703913,0.15610120922258208
813,10609,0.4010092267540828,0.13247324989023834
813,8024,0.19401684249887802,0.07355707656133409
814,10609,0.4373881865514839,0.1549361602141945
814,23794,0.3052924418505583,0.1261848357397253
814,8024,0.25731937159795776,0.10460909004656266
823,23794,1,0.12306852100741023
829,10609,0.5029568709541307,0.17716166335872563
829,23794,0.4970431290458693,0.20428592849126367
830,23794,0.7490254086875767,0.28697998349594195
830,10609,0.2509745913124233,0.08240990951100062
852,21145,0.46212719451049805,0.13521497332288054
852,8058,0.4070271564960745,0.11824888019913618
852,4230,0.13084564899342743,0.03777967276527432
854,21145,1,0.40194531840805436
859,4230,1,0.49289046442466217
861,4230,0.4809043913289934,0.1669050264232831
861,8058,0.3941913704524668,0.13765517096520477
861,21145,0.12490423821853974,0.04392908957610813
886,8058,1,0.4078995784000513
887,4230,0.48113865633996056,0.18943827532407248
887,8058,0.3666074691353618,0.14523575059938293
887,21145,0.1522538745246776,0.06074774875060295
889,8058,0.4313658657010921,0.17089053159721268
889,4230,0.28696525071919404,0.11298656106270787
889,21145,0.28166888357971387,0.11238302226450039
910,8912,1,0.27861278973463943
911,8912,0.2610644982092016,0.07352651584398662
911,5044,0.2516835701376007,0.08451275041847013
911,13878,0.25070733732383865,0.08932108772132388
911,5045,0.236544594329359,0.0647663560852773
912,8912,0.2611560533142695,0.07236597408861829
912,5044,0.2517418029699166,0.08316888013916567
912,13878,0.24925323445882833,0.08737071844289793
912,5045,0.2378489092569855,0.0640731012633559
913,5045,1,0.27232983299576385
920,5045,0.4795302717048339,0.12494324642882677
920,8912,0.4374644945138846,0.11724634223405982
920,10193,0.08300523378128148,0.027441772610898803
921,5045,0.47309802343575785,0.12257087678631308
921,8912,0.39036559660888814,0.10403211537077581
921,10193,0.13653637995535386,0.04488430137352951
929,10193,0.304938484832982,0.06834817173788406
929,5045,0.25217551803753274,0.044545891921804234
929,8912,0.23590982256700552,0.04286575682034601
929,10191,0.20697617456247963,0.04490474148335752
930,10193,0.3241379294967589,0.10716094576946424
930,5045,0.2576992211212158,0.06714441024670813
930,8912,0.2413061251440492,0.06467327265782502
930,10191,0.1768567242379761,0.0565959613949482
931,10193,1,0.33620635867912374
932,10193,0.3087217794715424,0.06861951562892744
932,10191,0.26176564773176214,0.05631838757490019
932,5045,0.22139443154809207,0.03878262010698592
932,8912,0.20811814124860348,0.037500764866259126
933,10193,0.2888341681609056,0.09710788393949177
933,5045,0.2520330837360175,0.06678109712747386
933,8912,0.23802835511089657,0.06487605396527706
933,10192,0.22110439299218027,0.05401696301975598
934,10192,0.2827263716200888,0.0706064586532614
934,7600,0.27745766506377473,0.08117023060482348
934,8912,0.22061158087697408,0.06146520799590278
934,5045,0.2192043824391624,0.05937321235964206
935,10192,0.31369111097781277,0.0779136569557554
935,7600,0.2916707833956095,0.08486453725516796
935,10194,0.21337241540545937,0.07284253869807926
935,10191,0.1812656902211185,0.05997321038999578
936,10193,0.29158441801341756,0.09803253542786261
936,10191,0.2532140354361125,0.08240449045827708
936,10192,0.23583290348472333,0.05761521539206378
936,7600,0.21936864306574666,0.06278115244731958
937,10191,1,0.3272421018855882
938,10194,0.3191122512099836,0.10536890193314552
938,10192,0.25965046800596825,0.06237673848489664
938,7600,0.2394671158365918,0.06739091911114811
938,10191,0.1817701649474563,0.05816831269744052
939,10194,0.33231817085764687,0.10229013295166005
939,10191,0.2508417017815781,0.07482974776634062
939,10192,0.2113356282349682,0.047327869001536155
939,7600,0.20550449912580676,0.0539122563230873
940,10191,0.331633726244016,0.09473410931433242
940,10194,0.26368957751421673,0.07772232102091864
940,10192,0.20541779195516288,0.04405096537818661
940,10193,0.19925890428660442,0.05880418601025237
945,10191,0.3317982014148803,0.10857834083286318
945,10193,0.2762539602775132,0.09339432882256549
945,10194,0.20292340508414028,0.06851827586395674
945,10192,0.18902443322346613,0.04643621424141386
1037,21145,0.9240079227298165,0.24577984767785357
1037,8058,0.07599207727018358,0.02007008823901209
1305,21714,1,1
1319,21773,1,0.28125000000000006
1324,21773,1,0.71875
1346,4239,1,0.9983517443915648
1347,5543,1,0.5052826037449303
1348,5543,0.9922326525836885,0.49471739625506966
1348,4239,0.00776734741631143,0.001648255608435242
2249,26234,1,0.47297297297297297
2259,26234,1,0.527027027027027
2279,22793,1,1
2614,21082,1,0.24483306836248014
2615,21082,1,0.2511923688394277
2616,21082,1,0.25596184419713836
2617,21082,1,0.2480127186009539
2659,21085,0.48684359392020354,0.16804352033108352
2659,21084,0.28837823638171955,0.0588254191674567
2659,23212,0.22477816969807685,0.07814332204912727
2660,21085,0.48375089038158425,0.12347806051304402
2660,23212,0.3693923502725081,0.09496451350523094
2660,21084,0.1468567593459077,0.022152982285735964
2662,21085,1,0.38577758565140147
2663,21085,0.518649380392504,0.10982016030843106
2663,21084,0.481350619607496,0.06023376120599848
2665,21084,1,0.18684526026802456
2666,21084,0.9907508928346878,0.17492717585821027
2666,21085,0.009249107165312277,0.0027632640440715837
2667,21084,0.9911211859645407,0.2718330949705655
2667,21085,0.008878814035459271,0.004120598426523013
2668,21084,0.9951871138760383,0.2251823062440086
2668,21085,0.004812886123961684,0.0018427434115567917
